timestamp_utc,forecast_mw
2026-06-08T00:00:00Z,38077.76
2026-06-08T01:00:00Z,38235.05
2026-06-08T02:00:00Z,39313.76
2026-06-08T03:00:00Z,42893.71
2026-06-08T04:00:00Z,49887.57
2026-06-08T05:00:00Z,55393.28
2026-06-08T06:00:00Z,58663.5
2026-06-08T07:00:00Z,59635.81
2026-06-08T08:00:00Z,60384.92
2026-06-08T09:00:00Z,60637.94
2026-06-08T10:00:00Z,59867.7
2026-06-08T11:00:00Z,58966.79
2026-06-08T12:00:00Z,57709.4
2026-06-08T13:00:00Z,56935.04
2026-06-08T14:00:00Z,56743.88
2026-06-08T15:00:00Z,57157.19
2026-06-08T16:00:00Z,57696.23
2026-06-08T17:00:00Z,57829.89
2026-06-08T18:00:00Z,56270.73
2026-06-08T19:00:00Z,53696.51
2026-06-08T20:00:00Z,50669.38
2026-06-08T21:00:00Z,47255.04
2026-06-08T22:00:00Z,44421.3
2026-06-08T23:00:00Z,42703.29
