timestamp_utc,forecast_mw
2026-07-03T00:00:00Z,42800.09
2026-07-03T01:00:00Z,43569.24
2026-07-03T02:00:00Z,44719.86
2026-07-03T03:00:00Z,47427.05
2026-07-03T04:00:00Z,52433.3
2026-07-03T05:00:00Z,57006.79
2026-07-03T06:00:00Z,59775.98
2026-07-03T07:00:00Z,60272.38
2026-07-03T08:00:00Z,60027.4
2026-07-03T09:00:00Z,59804.06
2026-07-03T10:00:00Z,59002.09
2026-07-03T11:00:00Z,57664.85
2026-07-03T12:00:00Z,56050.76
2026-07-03T13:00:00Z,55112.84
2026-07-03T14:00:00Z,54727.94
2026-07-03T15:00:00Z,55635.4
2026-07-03T16:00:00Z,56581.64
2026-07-03T17:00:00Z,56520.69
2026-07-03T18:00:00Z,55066.55
2026-07-03T19:00:00Z,52896.73
2026-07-03T20:00:00Z,50310.63
2026-07-03T21:00:00Z,47112.36
2026-07-03T22:00:00Z,44302.59
2026-07-03T23:00:00Z,42488.92
