timestamp_utc,forecast_mw
2026-07-12T00:00:00Z,38900.62
2026-07-12T01:00:00Z,38314.43
2026-07-12T02:00:00Z,37578.39
2026-07-12T03:00:00Z,37324.82
2026-07-12T04:00:00Z,38715.15
2026-07-12T05:00:00Z,39979.45
2026-07-12T06:00:00Z,42340.31
2026-07-12T07:00:00Z,44142.48
2026-07-12T08:00:00Z,44874.61
2026-07-12T09:00:00Z,45235.51
2026-07-12T10:00:00Z,44482.35
2026-07-12T11:00:00Z,42784.81
2026-07-12T12:00:00Z,41802.98
2026-07-12T13:00:00Z,41172.55
2026-07-12T14:00:00Z,42001.71
2026-07-12T15:00:00Z,44340.97
2026-07-12T16:00:00Z,47079.1
2026-07-12T17:00:00Z,48829.88
2026-07-12T18:00:00Z,48720.64
2026-07-12T19:00:00Z,47877.23
2026-07-12T20:00:00Z,47508.68
2026-07-12T21:00:00Z,45825.13
2026-07-12T22:00:00Z,43685.36
2026-07-12T23:00:00Z,42848.08
