timestamp_utc,forecast_mw
2026-06-28T00:00:00Z,42500.58
2026-06-28T01:00:00Z,42648.24
2026-06-28T02:00:00Z,42158.7
2026-06-28T03:00:00Z,41732.88
2026-06-28T04:00:00Z,43207.15
2026-06-28T05:00:00Z,43490.86
2026-06-28T06:00:00Z,45175.4
2026-06-28T07:00:00Z,47500.03
2026-06-28T08:00:00Z,48404.3
2026-06-28T09:00:00Z,49502.94
2026-06-28T10:00:00Z,48609.05
2026-06-28T11:00:00Z,47903.2
2026-06-28T12:00:00Z,46222.62
2026-06-28T13:00:00Z,45501.09
2026-06-28T14:00:00Z,46502.57
2026-06-28T15:00:00Z,48367.4
2026-06-28T16:00:00Z,50191.37
2026-06-28T17:00:00Z,51624.03
2026-06-28T18:00:00Z,50766.83
2026-06-28T19:00:00Z,50745.11
2026-06-28T20:00:00Z,50811.45
2026-06-28T21:00:00Z,49075.18
2026-06-28T22:00:00Z,47245.44
2026-06-28T23:00:00Z,45143.78
